sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,set_type,vgg_pca_000,vgg_pca_001,vgg_pca_002,vgg_pca_003,vgg_pca_004,vgg_pca_005,vgg_pca_006,vgg_pca_007,vgg_pca_008,vgg_pca_009,vgg_pca_010,vgg_pca_011,vgg_pca_012,vgg_pca_013,vgg_pca_014,vgg_pca_015,vgg_pca_016,vgg_pca_017,vgg_pca_018,vgg_pca_019,vgg_pca_020,vgg_pca_021,vgg_pca_022,vgg_pca_023,vgg_pca_024,vgg_pca_025,vgg_pca_026,vgg_pca_027,vgg_pca_028,vgg_pca_029,vgg_pca_030,vgg_pca_031,vgg_pca_032,vgg_pca_033,vgg_pca_034,vgg_pca_035,vgg_pca_036,vgg_pca_037,vgg_pca_038,vgg_pca_039,vgg_pca_040,vgg_pca_041,vgg_pca_042,vgg_pca_043,vgg_pca_044,vgg_pca_045,vgg_pca_046,vgg_pca_047,vgg_pca_048,vgg_pca_049
PASD:ava_images___321917,PASD,ava_images___321917.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___321917.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___321917.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___321917.png,train,0.6694813,-15.644468,-11.745605,-8.230397,1.5313588,-16.164064,-7.711794,-16.370754,-11.958534,-25.12178,-4.997858,-10.222673,-10.226316,-2.2987075,-15.70507,-8.919418,-19.720993,13.959112,10.800379,-22.535168,77.47144,1.7023954,-51.278645,58.786083,-34.623745,43.61165,-6.18768,-1.6391624,-16.249388,-0.94927335,1.6400211,1.4932885,-0.25899553,0.181445,1.1461314,-0.53543115,3.5461216,0.5534339,-0.30647802,3.7866426,0.7941896,-0.885175,-0.16075659,1.5330544,-4.162039,2.5303063,0.94770074,-2.4700992,-0.5708196,-2.0907598
PASD:ava_images___360165,PASD,ava_images___360165.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___360165.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___360165.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___360165.png,train,21.989477,-72.569534,260.5449,56.840355,23.439383,3.9460135,-10.156255,5.4279575,5.3466425,-12.090023,9.928992,-0.53359985,-0.7003007,-0.6980611,4.098359,-5.1852427,-0.09124422,0.885713,4.868373,4.6197877,1.0120623,2.979621,-1.3957777,1.458436,-2.7588804,7.489664,-7.2987,1.8217837,-3.5837345,45.518055,-69.685875,-0.75865126,33.943073,34.12096,0.498932,0.9367194,-3.2099428,-3.0584614,-0.2712493,0.4510802,-0.14591396,-1.1563427,1.4263394,-1.9578719,-0.6800728,-0.9532976,0.33514357,1.0127836,0.2859969,-0.82520545
PASD:ava_images___426629,PASD,ava_images___426629.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___426629.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___426629.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___426629.png,test,-14.147083,-8.107306,-8.115622,-9.87354,1.1800004,-12.052054,-4.123225,-10.274706,-3.5193033,-9.770617,-2.307292,-6.5070815,-5.8432293,-3.366555,-5.368203,0.24302396,-6.643857,2.553008,4.861726,-10.773748,6.9839816,-8.255386,-6.5118375,-7.617,-2.4332695,-9.962924,-9.855183,-3.1149547,22.401016,0.705266,-0.7055185,-2.8148227,-0.009003043,-1.8135386,-1.7199774,4.364475,-12.168058,1.7854915,-0.27653933,6.4754844,1.9680377,-0.54780006,0.1009016,0.63084555,2.0869336,-3.6500618,-0.7446065,2.009558,-0.57815075,0.6663774
PASD:ava_images___436880,PASD,ava_images___436880.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___436880.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___436880.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___436880.png,train,-6.0630264,1.8603001,-10.527848,-18.008831,0.46216705,-7.3281484,-26.24285,-3.6483593,9.136771,-8.460738,-10.937409,-5.478314,10.730387,-94.49144,103.46307,-41.209785,33.20114,55.71835,14.700478,22.324177,-7.7016172,17.888092,-13.816935,-4.4498825,-6.6556864,-5.417078,2.255921,-0.21471733,-1.2605705,1.8439509,2.3249648,1.94695,-5.264081,0.08580935,1.9026963,-2.6545515,5.9493,-53.037086,2.063171,16.625166,-5.8511796,-1.0596635,-7.420369,0.75267243,-9.60825,5.7872066,-4.334091,2.2536292,4.837883,-33.939964
PASD:ava_images___46021,PASD,ava_images___46021.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___46021.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___46021.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___46021.png,train,-12.841409,-12.79695,-6.5838113,2.0756445,-3.711844,-12.504895,-4.6958194,-14.105816,-9.710159,-6.5906305,2.698839,-5.3639417,-4.4778447,-1.0607262,-11.994098,-4.232117,-11.598701,0.028947711,-5.812145,0.96698856,11.324227,-4.8092847,2.5619533,-27.349945,-11.632701,-28.616207,-26.167349,83.00996,-26.614737,-2.5889688,0.8515549,0.40850806,-3.1989381,1.7663378,1.6695977,-1.2487121,1.4053278,-1.535406,-0.35813415,-0.13428342,1.1478168,-1.4107819,-0.4903581,0.60710025,-1.3612976,0.56800985,0.95591545,-1.3669815,-0.12723637,1.3052726
PASD:ava_images___472713,PASD,ava_images___472713.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___472713.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___472713.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___472713.png,test,-5.4097967,-2.3920546,3.3719683,8.921986,0.6054832,-1.0586967,7.0286336,-2.8905091,14.329268,10.570717,0.7323201,6.606125,5.575867,-4.835483,2.6443627,6.3484464,-0.98693085,-3.0636244,3.001062,4.081095,-9.148372,0.276371,1.8828384,-5.76834,-7.732979,0.20439816,-3.5652728,-2.7332945,-19.834158,-4.6203036,-1.7634659,0.36892056,-1.1252656,0.8675431,0.73911345,-0.6840391,7.3636026,2.417498,-3.37228,5.5832863,3.036069,5.0921593,-1.6250081,6.7921944,-3.9128761,3.6224947,-1.033142,-0.2403729,-1.5778632,-1.0353845
PASD:ava_images___501777,PASD,ava_images___501777.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___501777.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___501777.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___501777.png,test,-11.883733,-10.873581,-4.9110937,-11.762524,-1.1216601,-5.1644835,-3.7595506,2.4700785,1.4898715,-3.0463815,-5.648765,-2.9755068,-1.026068,0.8467888,2.7273343,0.5333207,-8.9671545,-0.48725998,3.2350004,-5.769932,-0.40134788,-6.1964426,5.0218425,-13.802206,-5.445639,2.3688078,1.798758,3.0147724,1.39919,-0.40349668,-1.0617034,-1.7140143,2.2171483,-0.2177378,-1.6251278,1.9315772,-4.996589,1.5153557,-0.61400414,0.677513,-1.414265,1.450373,-2.012063,0.092063665,1.699225,-1.7846489,-0.54452354,1.339061,-1.1121707,3.4827673
PASD:ava_images___564572,PASD,ava_images___564572.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___564572.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___564572.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___564572.png,train,-18.618668,-15.467315,-11.226057,4.884904,-3.1740878,-16.810883,4.4812617,-19.231552,-10.038587,-12.717963,21.890175,-0.1583023,-6.0383806,1.3600975,-52.424076,15.945688,-46.831566,91.995605,-25.805342,63.216473,-32.77932,-5.3578224,1.3057816,6.9110575,5.4464307,9.526038,7.172417,-5.1135745,-5.200901,-0.66060185,0.19023466,0.9233147,0.56532115,-0.57268345,-0.113375545,0.4176638,-0.17227793,0.18470892,0.09957814,0.4050591,0.12843418,-0.45235944,-1.0556767,-0.3354137,-0.18666744,1.0984964,-1.5820016,-0.8386471,0.21611619,-0.22565982
PASD:ava_images___588008,PASD,ava_images___588008.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___588008.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___588008.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___588008.png,train,-15.247269,-12.654263,-10.608094,-8.619923,0.5061494,-16.040792,-6.7637396,-12.500879,-6.391929,-11.114641,-3.4719887,-12.042403,-5.8569617,-0.11143567,-9.501189,-2.2357104,-8.408859,-1.0518067,1.6608851,-8.646006,8.66577,-10.813667,-3.669749,-12.418142,0.6742126,-14.692198,-15.397934,-3.6107929,55.047012,4.5659018,-4.073646,-5.993822,-2.017016,2.5620184,10.349243,-19.525614,37.30195,-2.8578796,-1.2841804,-13.590498,-0.990837,-3.340407,3.5514681,-4.135424,-4.528941,2.187955,0.5824001,-3.9766672,-1.603369,0.10792956
PASD:ava_images___645845,PASD,ava_images___645845.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___645845.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___645845.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___645845.png,test,6.7890987,-1.4391947,-4.6622763,-9.45027,-10.752278,-6.5569177,3.3231177,0.19921494,-6.4528565,-7.2593203,6.43847,0.16640854,0.75562334,8.068793,5.7707033,0.26667532,-6.2684135,4.9486146,0.94791865,-7.706946,7.572402,-2.2033114,-2.5349092,-0.8026171,0.74392533,3.9681168,-2.6288872,-5.032096,8.4961605,2.0361423,-2.861322,-3.3015952,2.9405136,-3.727066,3.1127434,-1.3270955,3.012885,1.2467558,-1.0539842,1.7843105,0.19148242,1.6672975,-4.670109,-3.1825507,-1.1215439,-1.148962,-0.037315845,5.470683,0.69070476,-4.489202
PASD:ava_images___699615,PASD,ava_images___699615.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___699615.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___699615.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___699615.png,train,-11.634243,-0.36432076,-64.375305,221.07875,22.724144,14.966628,-0.53651285,20.955814,-0.24549723,-5.5047703,-9.967064,3.0602407,-21.985306,0.086271256,12.06092,2.5774465,7.713891,-5.1038237,1.2878702,-3.6774206,-5.8245344,-0.026281834,-2.147087,2.6314363,-1.5393164,2.5404215,-0.2614689,-4.1378403,-0.5392456,-0.16192508,1.6415148,0.117694855,-2.8334231,1.9336232,1.6347924,2.3708029,-3.829041,-2.547986,-1.3566668,-0.68678,6.0519466,-11.6978035,6.4015007,-23.022709,-4.963352,0.36689806,-4.4403543,-1.2285833,-1.8799853,0.96689284
PASD:ava_images___710191,PASD,ava_images___710191.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___710191.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___710191.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___710191.png,train,-14.67177,-8.185747,4.489669,-12.845942,-10.244348,10.412686,5.095382,-12.54678,-6.7603116,-0.9454231,-10.321003,-6.6674504,-6.4842653,-4.360966,-25.07866,113.14486,104.56354,20.454023,19.83745,-3.7462332,2.9950879,17.359451,-1.6440942,0.56093884,-1.6210926,2.3886595,1.9118705,3.4556324,-1.5935211,0.96291816,1.0120498,2.5952933,-0.2469657,-0.19208312,0.41024864,2.061088,1.9890223,-0.22171116,-0.109372616,1.2242619,4.524701,1.6966335,-8.444607,2.5533404,-6.830638,-10.267083,-34.26711,-14.807447,12.782256,-3.2952385
PASD:ava_images___737450,PASD,ava_images___737450.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___737450.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___737450.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___737450.png,train,-22.34495,-4.298736,-9.691716,26.769041,-0.30021742,-15.511192,11.344435,-39.796413,-5.1522655,98.40869,24.363447,-40.188385,129.71458,-8.833542,-9.633733,-4.111578,1.4336658,-11.316854,4.3625174,3.8394637,7.2406273,2.085145,2.4686978,13.321099,7.159992,-0.08778858,0.3530612,-3.0608177,-1.2788029,1.5012866,-2.0855665,-0.44307923,-1.3100951,-1.6497271,0.15354526,1.4589344,-1.3278198,-2.862459,-0.012128234,-0.056107998,0.932119,-1.9309139,0.7109104,-3.3787298,1.9514256,-1.1760154,0.74874043,-0.56962395,-2.0874572,1.9909985
PASD:ava_images___74410,PASD,ava_images___74410.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___74410.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___74410.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___74410.png,train,-11.9514885,-12.112138,-4.556919,-10.691004,-0.019108415,-13.424678,-0.9858303,-10.369316,-8.347002,-8.984983,-6.926709,-13.456682,-4.957065,6.8511267,-1.1604416,1.0694087,-8.996252,-4.011032,11.7665205,-11.078043,-2.5108967,-14.770664,-4.967992,-21.814316,-13.544428,-50.3625,-48.705177,-62.797527,-46.79158,0.93645006,-0.14760113,-1.7619858,-1.1281306,2.2689729,-0.81753755,0.96025157,2.157258,0.14579812,0.14560676,1.9277128,2.1162825,-0.9390843,-1.9994187,0.27092886,-0.8082266,0.4956379,-2.3791885,-1.4353864,0.28729343,-1.9564629
PASD:ava_images___751927,PASD,ava_images___751927.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___751927.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___751927.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___751927.png,train,-11.630587,-6.180203,-5.6555214,-13.730779,1.1648438,-26.675812,41.11984,7.1195726,-14.914086,-2.2233353,7.887742,-8.239716,4.623236,110.831116,84.83831,9.766836,7.3215265,18.957191,-38.72133,4.339295,10.332783,0.30827332,1.4608377,4.2166452,3.5431747,3.709011,3.6345181,1.6737785,1.8299875,3.3224614,0.9120344,2.9389753,0.7484098,0.16559422,0.63809764,0.9897487,0.6004667,0.250746,-0.6790173,1.1691407,1.9685827,-1.4101617,-1.1356411,-1.3426064,0.88610506,0.60782146,-2.2059047,0.65083194,1.3085145,0.26587906
PASD:ava_images___773899,PASD,ava_images___773899.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___773899.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___773899.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___773899.png,train,-0.9527912,-8.806926,-7.060092,-12.962627,-10.473689,-0.1496048,-7.04481,-3.9916258,-5.281011,-15.283953,-17.879612,-11.790123,-5.3944077,-12.568261,4.2213306,-3.7068644,-2.6785715,3.9336934,-4.360689,-39.06452,-19.990627,-21.276554,100.66125,57.311207,-34.92239,-0.1763854,7.0425286,2.2727878,-3.4050865,3.208092,-0.14266682,2.6908007,0.2627505,2.2522655,1.1367131,-0.53790474,-0.012727737,-1.9222249,3.106997,0.38341868,2.858436,-2.3489258,-0.6199844,0.11328459,-1.4970903,2.0452862,0.22648144,-6.0616093,1.7071449,0.60405207
PASD:ava_images___827653,PASD,ava_images___827653.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___827653.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___827653.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___827653.png,test,-2.6747904,-12.047974,1.235753,-6.048747,-7.9744706,-0.046562195,0.7439923,4.2551565,-3.0420227,1.6889181,13.019381,7.964863,4.984673,-4.6747513,-5.77341,1.074727,-10.797498,20.711567,-8.010176,4.7680326,-4.0119085,3.190629,-0.44900453,-0.57922363,7.201087,-3.4144783,13.941231,-4.0333014,-6.9622593,0.88861066,-4.5302544,-5.384105,-0.18468475,-2.5052886,2.747851,3.2666113,2.2566042,-2.1763625,-1.072653,0.9282836,5.8597746,0.1694045,0.21252477,3.559866,-4.8801775,1.1287975,-9.760289,-4.3528166,-8.643348,2.647919
