sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,set_type,resnet_pca_000,resnet_pca_001,resnet_pca_002,resnet_pca_003,resnet_pca_004,resnet_pca_005,resnet_pca_006,resnet_pca_007,resnet_pca_008,resnet_pca_009
PASD:ava_images___842206,PASD,ava_images___842206.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___842206.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___842206.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___842206.png,test,-1.6670359,-1.5616494,-1.72838,2.5384455,0.649797,1.3168647,0.3482177,-0.42660385,-0.7570348,-0.75234085
PASD:ava_images___846773,PASD,ava_images___846773.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___846773.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___846773.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___846773.png,train,-1.0420862,-5.3773365,-3.837366,2.587075,7.1781206,5.6650467,1.830332,-0.95141494,0.49388093,-0.47122487
PASD:ava_images___857447,PASD,ava_images___857447.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___857447.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___857447.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___857447.png,train,-2.2322445,-4.0191097,-2.554169,2.765886,1.9399525,6.06608,-1.5926847,-4.763403,-4.221593,0.9282755
PASD:ava_images___864250,PASD,ava_images___864250.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___864250.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___864250.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___864250.png,train,-2.6744742,-1.5878458,-0.34084454,1.2909491,0.124226876,1.9175203,-0.29873404,0.12080869,-1.653259,-2.7783418
PASD:ava_images___865616,PASD,ava_images___865616.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___865616.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___865616.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___865616.png,train,-1.4804953,1.9123545,-2.5951886,3.1150227,-0.6555834,-1.433328,-2.6442955,-1.1415977,0.29885066,7.6427393
PASD:ava_images___953752,PASD,ava_images___953752.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___953752.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___953752.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___953752.png,train,0.9920335,-0.3206638,0.2962448,0.6468581,0.28606504,-2.8384488,-0.61216044,-1.0280771,0.6398669,0.06202852
PASD:blur_dataset___out_of_focus0685,PASD,blur_dataset___out_of_focus0685.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/blur_dataset___out_of_focus0685.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/blur_dataset___out_of_focus0685.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/blur_dataset___out_of_focus0685.png,train,-2.0083728,-0.5843283,2.4868357,-2.595833,-0.19032513,-0.3342538,0.59860915,-0.5943668,0.16845143,-2.4358528
PASD:voc_emotic_ava___EMOTIC__COCO_train2014_000000244530,PASD,voc_emotic_ava___EMOTIC__COCO_train2014_000000244530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/voc_emotic_ava___EMOTIC__COCO_train2014_000000244530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/voc_emotic_ava___EMOTIC__COCO_train2014_000000244530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/voc_emotic_ava___EMOTIC__COCO_train2014_000000244530.png,train,-5.6171303,8.356677,-1.0702864,3.3681676,0.08868063,1.0976801,6.8606205,2.785078,-4.627205,0.7941702
PASD:voc_emotic_ava___EMOTIC__COCO_train2014_000000247190,PASD,voc_emotic_ava___EMOTIC__COCO_train2014_000000247190.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/voc_emotic_ava___EMOTIC__COCO_train2014_000000247190.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/voc_emotic_ava___EMOTIC__COCO_train2014_000000247190.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/voc_emotic_ava___EMOTIC__COCO_train2014_000000247190.png,train,0.8285948,-1.4184568,-0.88464403,1.9353325,-1.2595755,-3.0080078,-1.2386845,-0.9545102,-0.78042746,-0.04830747
PASD:voc_emotic_ava___EMOTIC__COCO_val2014_000000020598,PASD,voc_emotic_ava___EMOTIC__COCO_val2014_000000020598.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/voc_emotic_ava___EMOTIC__COCO_val2014_000000020598.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/voc_emotic_ava___EMOTIC__COCO_val2014_000000020598.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/voc_emotic_ava___EMOTIC__COCO_val2014_000000020598.png,train,-5.63058,2.1408405,-3.640511,5.133211,-8.032671,4.129901,0.1713383,4.0351915,4.6345997,-2.2283814
PASD:voc_emotic_ava___JPEGImages__2008_003883,PASD,voc_emotic_ava___JPEGImages__2008_003883.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/voc_emotic_ava___JPEGImages__2008_003883.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/voc_emotic_ava___JPEGImages__2008_003883.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/voc_emotic_ava___JPEGImages__2008_003883.png,test,-3.1431084,2.8144655,-0.24579158,0.38799912,-0.104937695,-0.70364344,1.8522747,0.62816596,-1.4741919,-1.2698542
PASD:voc_emotic_ava___VOC2012__2010_004399,PASD,voc_emotic_ava___VOC2012__2010_004399.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/voc_emotic_ava___VOC2012__2010_004399.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/voc_emotic_ava___VOC2012__2010_004399.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/voc_emotic_ava___VOC2012__2010_004399.png,train,0.263295,-2.2694995,-0.5849267,2.423725,-0.9889344,-2.5135562,-1.0758109,-0.86274815,-0.69386035,0.21385977
PASD:voc_emotic_ava___VOC2012__2012_004043,PASD,voc_emotic_ava___VOC2012__2012_004043.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/voc_emotic_ava___VOC2012__2012_004043.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/voc_emotic_ava___VOC2012__2012_004043.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/voc_emotic_ava___VOC2012__2012_004043.png,train,-0.8524481,0.7035761,-3.26389,1.9475644,-3.9239206,-0.7973914,-5.1760273,-1.8851407,1.6085496,0.47215298
SUPIR:1024x768___4962875195,SUPIR,1024x768___4962875195.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/1024x768___4962875195.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/1024x768___4962875195.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/1024x768___4962875195.png,train,-0.610427,1.2978559,0.6999029,0.48649144,1.2147163,-4.4294176,2.8135548,1.1838423,-4.965998,-2.087538
SUPIR:ava_images___101816,SUPIR,ava_images___101816.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___101816.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___101816.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___101816.png,train,1.4292893,-1.86005,-0.65152514,1.3360677,-1.2569497,-3.5191543,-0.64998895,-1.1747684,-0.8624999,-0.12319841
SUPIR:ava_images___158174,SUPIR,ava_images___158174.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___158174.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___158174.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___158174.png,train,-4.1623535,0.20480585,5.7460766,-5.2571187,-1.4273194,3.2759292,-2.9980774,2.6918445,-0.371198,3.2863138
SUPIR:ava_images___18037,SUPIR,ava_images___18037.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___18037.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___18037.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___18037.png,train,8.77282,1.9972744,3.569182,2.6561234,0.15096626,2.8861563,-0.895438,0.28913793,0.17030972,-0.40405178
SUPIR:ava_images___217590,SUPIR,ava_images___217590.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___217590.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___217590.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___217590.png,test,4.252866,0.61744165,1.9225335,2.007368,-0.12302185,0.33698678,-0.62665933,0.5877515,-0.48710558,0.079709776
SUPIR:ava_images___251530,SUPIR,ava_images___251530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___251530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___251530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___251530.png,train,8.656209,2.4972754,-9.28933,-7.4203353,-0.48248014,2.4004452,-2.1734529,4.687092,-3.0851393,-0.0023748856
SUPIR:ava_images___253900,SUPIR,ava_images___253900.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___253900.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___253900.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___253900.png,train,1.2409562,7.4042587,0.5178341,-1.7786353,3.7913108,1.3313916,-1.8850923,-3.6266081,4.6246796,-0.6690996
SUPIR:ava_images___273810,SUPIR,ava_images___273810.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___273810.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___273810.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___273810.png,train,-2.6506095,-3.4928815,4.549531,-3.309232,-1.8846443,0.04845667,-1.2985837,3.074624,-1.7712607,0.9258352
SUPIR:ava_images___295451,SUPIR,ava_images___295451.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___295451.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___295451.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___295451.png,train,-0.90772736,-1.9550467,1.6499822,-1.3028092,0.2799112,-1.0937166,-0.35079908,-0.026187718,-0.65746796,0.63541824
SUPIR:ava_images___308473,SUPIR,ava_images___308473.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___308473.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___308473.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___308473.png,train,-2.2572422,7.0653543,-0.40398458,-1.6187787,4.691453,-2.051806,0.76511467,-2.4762127,0.43349725,1.8315449
SUPIR:ava_images___321917,SUPIR,ava_images___321917.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___321917.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___321917.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___321917.png,train,2.8005805,-1.2579715,-2.7908528,-0.38708526,3.902275,-1.3840046,0.31593144,2.5493996,2.7845738,-0.4703873
SUPIR:ava_images___360165,SUPIR,ava_images___360165.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___360165.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___360165.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___360165.png,train,0.7020841,-1.8599386,0.5245558,0.82808816,-0.21208239,-2.5634856,0.14945665,-0.3878028,-0.70685756,0.21157409
SUPIR:ava_images___426629,SUPIR,ava_images___426629.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___426629.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___426629.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___426629.png,test,3.4574904,1.641115,-2.1916144,-1.479414,-0.2503215,1.4795754,-1.8627117,1.3317564,-0.8900964,0.2737664
SUPIR:ava_images___436880,SUPIR,ava_images___436880.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___436880.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___436880.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___436880.png,train,-2.5264888,2.995645,-1.4146495,-0.6278767,-1.2288193,-1.5962534,-1.0294658,-1.0132428,0.28502613,-5.9111323
SUPIR:ava_images___46021,SUPIR,ava_images___46021.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___46021.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___46021.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___46021.png,train,-1.0737687,-2.1390855,0.5818575,-1.633673,2.2886918,-0.40573668,3.3993683,3.4211817,3.7864487,3.5851884
