sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,set_type,resnet_pca_000,resnet_pca_001,resnet_pca_002,resnet_pca_003,resnet_pca_004
PASD:ava_images___321917,PASD,ava_images___321917.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___321917.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___321917.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___321917.png,train,2.2897491,-1.2642932,-1.9733005,0.05007428,3.2703536
PASD:ava_images___360165,PASD,ava_images___360165.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___360165.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___360165.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___360165.png,train,0.75540906,-1.8232962,0.5047626,0.8694133,-0.18749799
PASD:ava_images___426629,PASD,ava_images___426629.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___426629.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___426629.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___426629.png,test,3.5384803,2.0153613,-2.1147263,-1.4027698,-0.16884328
PASD:ava_images___436880,PASD,ava_images___436880.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___436880.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___436880.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___436880.png,train,-2.887035,3.4630656,-1.6254191,0.33066,-0.59045273
PASD:ava_images___46021,PASD,ava_images___46021.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___46021.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___46021.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___46021.png,train,-0.7600987,-2.1241493,0.5913119,-1.0671434,2.0642323
PASD:ava_images___472713,PASD,ava_images___472713.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___472713.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___472713.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___472713.png,test,-1.4296895,-1.8318152,1.4522843,0.08895129,-0.9282246
PASD:ava_images___501777,PASD,ava_images___501777.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___501777.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___501777.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___501777.png,test,-2.7779317,1.0839739,0.5486353,-1.7389066,-0.2846621
PASD:ava_images___564572,PASD,ava_images___564572.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___564572.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___564572.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___564572.png,train,1.2915351,-3.237988,-0.4467574,0.49721032,1.2629056
PASD:ava_images___588008,PASD,ava_images___588008.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___588008.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___588008.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___588008.png,train,9.951123,2.5136566,7.6117315,5.346303,-1.0767834
PASD:ava_images___645845,PASD,ava_images___645845.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___645845.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___645845.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___645845.png,test,1.6937585,-0.23620701,-0.52266693,1.1921198,-0.5682843
PASD:ava_images___699615,PASD,ava_images___699615.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___699615.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___699615.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___699615.png,train,0.17751306,-3.8832378,-0.20275304,0.84025776,2.3993719
PASD:ava_images___710191,PASD,ava_images___710191.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___710191.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___710191.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___710191.png,train,-2.1377773,-1.1372641,1.5728822,-2.6297011,-0.2960731
PASD:ava_images___737450,PASD,ava_images___737450.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___737450.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___737450.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___737450.png,train,0.71862525,-2.1451783,0.6965872,0.9732163,-0.17206548
PASD:ava_images___74410,PASD,ava_images___74410.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___74410.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___74410.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___74410.png,train,4.2211366,-1.3691663,-2.1721902,-6.241875,-6.6564736
PASD:ava_images___751927,PASD,ava_images___751927.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___751927.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___751927.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___751927.png,train,0.9405706,-2.2879398,0.044424474,0.9980994,-0.94385403
PASD:ava_images___773899,PASD,ava_images___773899.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___773899.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___773899.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___773899.png,train,-2.306172,1.3100452,2.0400867,-4.532403,1.1965256
PASD:ava_images___827653,PASD,ava_images___827653.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___827653.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___827653.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___827653.png,test,-1.5512077,2.4669313,1.0361129,-1.7098,0.6548325
PASD:ava_images___842206,PASD,ava_images___842206.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___842206.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___842206.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___842206.png,test,-1.6670359,-1.5616494,-1.72838,2.5384455,0.649797
PASD:ava_images___846773,PASD,ava_images___846773.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___846773.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___846773.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___846773.png,train,-1.0420862,-5.3773365,-3.837366,2.587075,7.1781206
PASD:ava_images___857447,PASD,ava_images___857447.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___857447.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___857447.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___857447.png,train,-2.2322445,-4.0191097,-2.554169,2.765886,1.9399525
PASD:ava_images___864250,PASD,ava_images___864250.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___864250.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___864250.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___864250.png,train,-2.6744742,-1.5878458,-0.34084454,1.2909491,0.124226876
PASD:ava_images___865616,PASD,ava_images___865616.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___865616.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___865616.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___865616.png,train,-1.4804953,1.9123545,-2.5951886,3.1150227,-0.6555834
PASD:ava_images___953752,PASD,ava_images___953752.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___953752.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___953752.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___953752.png,train,0.9920335,-0.3206638,0.2962448,0.6468581,0.28606504
PASD:blur_dataset___out_of_focus0685,PASD,blur_dataset___out_of_focus0685.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/blur_dataset___out_of_focus0685.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/blur_dataset___out_of_focus0685.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/blur_dataset___out_of_focus0685.png,train,-2.0083728,-0.5843283,2.4868357,-2.595833,-0.19032513
PASD:voc_emotic_ava___EMOTIC__COCO_train2014_000000244530,PASD,voc_emotic_ava___EMOTIC__COCO_train2014_000000244530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/voc_emotic_ava___EMOTIC__COCO_train2014_000000244530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/voc_emotic_ava___EMOTIC__COCO_train2014_000000244530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/voc_emotic_ava___EMOTIC__COCO_train2014_000000244530.png,train,-5.6171303,8.356677,-1.0702864,3.3681676,0.08868063
PASD:voc_emotic_ava___EMOTIC__COCO_train2014_000000247190,PASD,voc_emotic_ava___EMOTIC__COCO_train2014_000000247190.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/voc_emotic_ava___EMOTIC__COCO_train2014_000000247190.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/voc_emotic_ava___EMOTIC__COCO_train2014_000000247190.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/voc_emotic_ava___EMOTIC__COCO_train2014_000000247190.png,train,0.8285948,-1.4184568,-0.88464403,1.9353325,-1.2595755
PASD:voc_emotic_ava___EMOTIC__COCO_val2014_000000020598,PASD,voc_emotic_ava___EMOTIC__COCO_val2014_000000020598.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/voc_emotic_ava___EMOTIC__COCO_val2014_000000020598.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/voc_emotic_ava___EMOTIC__COCO_val2014_000000020598.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/voc_emotic_ava___EMOTIC__COCO_val2014_000000020598.png,train,-5.63058,2.1408405,-3.640511,5.133211,-8.032671
PASD:voc_emotic_ava___JPEGImages__2008_003883,PASD,voc_emotic_ava___JPEGImages__2008_003883.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/voc_emotic_ava___JPEGImages__2008_003883.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/voc_emotic_ava___JPEGImages__2008_003883.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/voc_emotic_ava___JPEGImages__2008_003883.png,test,-3.1431084,2.8144655,-0.24579158,0.38799912,-0.104937695
PASD:voc_emotic_ava___VOC2012__2010_004399,PASD,voc_emotic_ava___VOC2012__2010_004399.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/voc_emotic_ava___VOC2012__2010_004399.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/voc_emotic_ava___VOC2012__2010_004399.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/voc_emotic_ava___VOC2012__2010_004399.png,train,0.263295,-2.2694995,-0.5849267,2.423725,-0.9889344
PASD:voc_emotic_ava___VOC2012__2012_004043,PASD,voc_emotic_ava___VOC2012__2012_004043.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/voc_emotic_ava___VOC2012__2012_004043.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/voc_emotic_ava___VOC2012__2012_004043.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/voc_emotic_ava___VOC2012__2012_004043.png,train,-0.8524481,0.7035761,-3.26389,1.9475644,-3.9239206
SUPIR:1024x768___4962875195,SUPIR,1024x768___4962875195.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/1024x768___4962875195.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/1024x768___4962875195.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/1024x768___4962875195.png,train,-0.610427,1.2978559,0.6999029,0.48649144,1.2147163
SUPIR:ava_images___101816,SUPIR,ava_images___101816.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___101816.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___101816.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___101816.png,train,1.4292893,-1.86005,-0.65152514,1.3360677,-1.2569497
SUPIR:ava_images___158174,SUPIR,ava_images___158174.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___158174.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___158174.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___158174.png,train,-4.1623535,0.20480585,5.7460766,-5.2571187,-1.4273194
SUPIR:ava_images___18037,SUPIR,ava_images___18037.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___18037.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___18037.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___18037.png,train,8.77282,1.9972744,3.569182,2.6561234,0.15096626
SUPIR:ava_images___217590,SUPIR,ava_images___217590.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___217590.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___217590.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___217590.png,test,4.252866,0.61744165,1.9225335,2.007368,-0.12302185
SUPIR:ava_images___251530,SUPIR,ava_images___251530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___251530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___251530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___251530.png,train,8.656209,2.4972754,-9.28933,-7.4203353,-0.48248014
SUPIR:ava_images___253900,SUPIR,ava_images___253900.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___253900.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___253900.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___253900.png,train,1.2409562,7.4042587,0.5178341,-1.7786353,3.7913108
SUPIR:ava_images___273810,SUPIR,ava_images___273810.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___273810.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___273810.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___273810.png,train,-2.6506095,-3.4928815,4.549531,-3.309232,-1.8846443
SUPIR:ava_images___295451,SUPIR,ava_images___295451.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___295451.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___295451.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___295451.png,train,-0.90772736,-1.9550467,1.6499822,-1.3028092,0.2799112
SUPIR:ava_images___308473,SUPIR,ava_images___308473.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___308473.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___308473.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___308473.png,train,-2.2572422,7.0653543,-0.40398458,-1.6187787,4.691453
SUPIR:ava_images___321917,SUPIR,ava_images___321917.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___321917.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___321917.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___321917.png,train,2.8005805,-1.2579715,-2.7908528,-0.38708526,3.902275
SUPIR:ava_images___360165,SUPIR,ava_images___360165.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___360165.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___360165.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___360165.png,train,0.7020841,-1.8599386,0.5245558,0.82808816,-0.21208239
SUPIR:ava_images___426629,SUPIR,ava_images___426629.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___426629.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___426629.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___426629.png,test,3.4574904,1.641115,-2.1916144,-1.479414,-0.2503215
SUPIR:ava_images___436880,SUPIR,ava_images___436880.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___436880.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___436880.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___436880.png,train,-2.5264888,2.995645,-1.4146495,-0.6278767,-1.2288193
SUPIR:ava_images___46021,SUPIR,ava_images___46021.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___46021.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___46021.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___46021.png,train,-1.0737687,-2.1390855,0.5818575,-1.633673,2.2886918
SUPIR:ava_images___472713,SUPIR,ava_images___472713.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___472713.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___472713.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___472713.png,test,-1.0444375,-2.0711398,1.4965702,0.120499015,-0.82260203
SUPIR:ava_images___501777,SUPIR,ava_images___501777.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___501777.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___501777.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___501777.png,test,-2.588871,0.3426087,0.6386502,-1.523005,-0.34010842
SUPIR:ava_images___564572,SUPIR,ava_images___564572.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___564572.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___564572.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___564572.png,train,1.5424441,-2.759842,-0.011531353,0.030137122,0.6066161
SUPIR:ava_images___588008,SUPIR,ava_images___588008.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___588008.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___588008.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___588008.png,train,9.043063,2.2172887,6.744409,4.689884,-1.0080777
SUPIR:ava_images___645845,SUPIR,ava_images___645845.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___645845.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___645845.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___645845.png,test,1.220113,-0.43508947,-0.4333441,1.2248272,-0.9113811
SUPIR:ava_images___699615,SUPIR,ava_images___699615.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___699615.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___699615.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___699615.png,train,0.14501655,-3.6517124,-0.079826266,0.8453655,2.5441563
SUPIR:ava_images___710191,SUPIR,ava_images___710191.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___710191.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___710191.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___710191.png,train,-2.6263537,-1.1417521,1.7665919,-3.164214,-0.22786985
SUPIR:ava_images___737450,SUPIR,ava_images___737450.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/SUPIR/ava_images___737450.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___737450.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___737450.png,train,0.787043,-2.138746,0.7179272,0.9698112,-0.13912918
