sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,set_type,resnet_pca_000,resnet_pca_001,resnet_pca_002,resnet_pca_003,resnet_pca_004,resnet_pca_005,resnet_pca_006,resnet_pca_007,resnet_pca_008,resnet_pca_009,resnet_pca_010,resnet_pca_011,resnet_pca_012,resnet_pca_013,resnet_pca_014,resnet_pca_015,resnet_pca_016,resnet_pca_017,resnet_pca_018,resnet_pca_019,resnet_pca_020,resnet_pca_021,resnet_pca_022,resnet_pca_023,resnet_pca_024
PASD:ava_images___321917,PASD,ava_images___321917.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___321917.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___321917.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___321917.png,train,2.2897491,-1.2642932,-1.9733005,0.05007428,3.2703536,-1.8219762,0.3068321,1.8981347,2.5699496,-0.30462992,0.5867237,0.09221566,-0.28299296,0.25446218,0.1327335,1.4772485,1.3737832,-0.12762353,1.8774633,0.079395026,-1.0817306,-0.40313363,-0.15770829,-1.1046139,-1.3774848
PASD:ava_images___360165,PASD,ava_images___360165.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___360165.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___360165.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___360165.png,train,0.75540906,-1.8232962,0.5047626,0.8694133,-0.18749799,-2.5538554,0.08077064,-0.30955583,-0.74965507,0.15630083,-0.15846825,-0.6284411,-0.52875286,0.043505482,-0.37477064,-0.10698026,-0.3973896,0.3252225,0.18040513,0.47972518,-1.2319082,-0.38943014,-0.21679258,0.19074823,-0.28814465
PASD:ava_images___426629,PASD,ava_images___426629.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___426629.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___426629.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___426629.png,test,3.5384803,2.0153613,-2.1147263,-1.4027698,-0.16884328,1.7293775,-1.8794023,1.4691606,-0.9884821,0.3075235,0.10325256,0.6072598,-0.7325875,-0.09419435,-0.24751976,0.50199634,-0.8348538,-0.010618687,-0.010457931,0.9480352,-0.47449124,1.3851776,0.49180743,-1.1839573,-0.3326779
PASD:ava_images___436880,PASD,ava_images___436880.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___436880.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___436880.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___436880.png,train,-2.887035,3.4630656,-1.6254191,0.33066,-0.59045273,-1.8093784,-0.8967576,-0.80330503,-0.16968966,-5.982134,-2.0684094,6.82039,3.0691817,-2.4595492,-1.1400301,-0.04309126,-0.9507864,0.44491875,2.7709267,0.7345265,2.0765479,-0.06576321,0.6006761,2.1159039,-1.2225573
PASD:ava_images___46021,PASD,ava_images___46021.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___46021.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___46021.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___46021.png,train,-0.7600987,-2.1241493,0.5913119,-1.0671434,2.0642323,-0.94973505,3.314505,3.3001323,3.294322,3.5155358,1.5006464,-0.9345149,5.7237234,-1.645404,-0.72782266,-4.1237826,-2.6290193,0.18444413,0.45447007,-0.34951788,1.1673126,-0.9928587,1.4028773,-1.6642379,-0.5480643
PASD:ava_images___472713,PASD,ava_images___472713.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___472713.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___472713.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___472713.png,test,-1.4296895,-1.8318152,1.4522843,0.08895129,-0.9282246,-0.4557712,0.56002694,1.893657,0.31489342,-0.7528377,-0.9885706,-0.44621253,-0.51559114,-0.32054052,0.21935359,-0.36706036,0.63376033,-0.6834842,0.05282423,-1.3029145,-0.15654334,0.6102706,-0.7727438,1.0764881,1.676547
PASD:ava_images___501777,PASD,ava_images___501777.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___501777.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___501777.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___501777.png,test,-2.7779317,1.0839739,0.5486353,-1.7389066,-0.2846621,0.58206487,-0.17095931,-0.19544943,0.078603804,1.3415803,-1.637821,-0.50755465,2.3534443,0.105368346,-0.09788144,-1.3316962,0.52225673,0.2910806,-0.355644,1.6667933,-1.1106048,1.1013604,-1.5825379,-0.016029552,0.857975
PASD:ava_images___564572,PASD,ava_images___564572.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___564572.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___564572.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___564572.png,train,1.2915351,-3.237988,-0.4467574,0.49721032,1.2629056,-2.0940056,1.2827871,1.1955693,1.3684235,-0.90904415,-0.6716926,0.22284037,-0.40836293,-1.0768204,-1.6488262,2.4273725,-0.48741448,1.0199524,-1.3179994,-0.66978204,-2.280633,0.6893014,-2.8458257,-2.3042552,-3.5458562
PASD:ava_images___588008,PASD,ava_images___588008.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___588008.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___588008.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___588008.png,train,9.951123,2.5136566,7.6117315,5.346303,-1.0767834,3.5878289,0.55924493,0.78812385,-0.70412755,-0.4689346,-0.11710283,1.4821818,1.921035,1.2174113,-0.27603573,0.08746684,1.086254,1.314181,-0.60352045,-0.63007414,0.67904794,-4.4353175,-2.534024,0.52487296,1.7564845
PASD:ava_images___645845,PASD,ava_images___645845.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___645845.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___645845.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___645845.png,test,1.6937585,-0.23620701,-0.52266693,1.1921198,-0.5682843,-1.3026106,-1.1436322,0.30081943,-0.51748806,0.58598346,0.1893082,0.07556003,-0.25491488,0.047564734,-0.35868704,0.50307643,-0.049919426,0.06572679,-0.7311348,0.13587125,-0.7235416,0.16628233,-0.09525558,-0.10465434,-0.18681705
PASD:ava_images___699615,PASD,ava_images___699615.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___699615.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___699615.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___699615.png,train,0.17751306,-3.8832378,-0.20275304,0.84025776,2.3993719,-1.2725873,1.3826121,4.1541057,4.504824,-0.99406856,-0.39721584,-0.69069123,-1.1657858,-0.41491625,-0.2581423,2.4232016,2.0777745,-0.5453688,2.9485955,-2.370504,0.9293444,2.2426481,-1.8254683,2.026272,3.471046
PASD:ava_images___710191,PASD,ava_images___710191.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___710191.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___710191.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___710191.png,train,-2.1377773,-1.1372641,1.5728822,-2.6297011,-0.2960731,1.938329,-1.9538676,-1.1658916,-2.2126398,-0.8687307,-1.794985,-4.9570737,3.7345583,-3.579298,0.81011164,4.4947214,1.8136352,2.2166142,-0.5871263,0.5215749,0.8194816,-0.6844173,1.1485033,-0.004845783,-0.32234174
PASD:ava_images___737450,PASD,ava_images___737450.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___737450.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___737450.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___737450.png,train,0.71862525,-2.1451783,0.6965872,0.9732163,-0.17206548,-2.8536358,-0.017742278,0.32930925,-0.4054543,0.018042525,-0.95904136,-0.56788665,-0.94614184,-0.02082372,-0.65044385,-0.26840258,-0.38046297,0.22132087,-0.3474736,-0.55711925,-0.18172812,0.3581273,0.009339854,0.6486019,-0.025262266
PASD:ava_images___74410,PASD,ava_images___74410.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___74410.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___74410.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___74410.png,train,4.2211366,-1.3691663,-2.1721902,-6.241875,-6.6564736,1.992727,8.9691515,-6.0029716,2.0618923,1.3444616,0.6288929,1.8271935,-0.5347062,-0.8279088,1.1345897,1.2054894,0.41538495,-0.46357676,0.29342368,0.062129732,0.03906229,0.38950288,-0.6091604,0.106801525,0.25754523
PASD:ava_images___751927,PASD,ava_images___751927.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___751927.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___751927.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___751927.png,train,0.9405706,-2.2879398,0.044424474,0.9980994,-0.94385403,-2.717781,0.21456912,-1.2869112,-0.927054,0.4788078,-0.95031774,-0.8392266,-1.5358784,0.12952068,-0.6763998,0.22142062,-0.53735,1.0029265,0.2514042,0.13369778,-0.037367105,0.033514738,0.21540153,-0.23880944,-1.309047
PASD:ava_images___773899,PASD,ava_images___773899.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___773899.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___773899.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___773899.png,train,-2.306172,1.3100452,2.0400867,-4.532403,1.1965256,0.23440123,-1.7702978,-1.8153682,1.3778572,-3.291112,0.06339595,-0.94330466,0.26992184,3.7451339,-0.97141933,-1.4789957,3.47866,-1.887172,1.9512076,2.8681457,-1.0655711,-1.2255502,-1.3496783,-4.1034765,0.005913526
PASD:ava_images___827653,PASD,ava_images___827653.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___827653.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___827653.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___827653.png,test,-1.5512077,2.4669313,1.0361129,-1.7098,0.6548325,1.2172382,-0.14742431,-0.5207497,1.2395034,-0.34306931,-1.058372,0.86493427,-0.4674916,-1.6585155,-0.3150977,0.021774188,-2.10776,0.8909535,-2.259686,-0.5633586,-0.48293853,0.86548173,-0.93794537,0.116962,0.29062748
PASD:ava_images___842206,PASD,ava_images___842206.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___842206.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___842206.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___842206.png,test,-1.6670359,-1.5616494,-1.72838,2.5384455,0.649797,1.3168647,0.3482177,-0.42660385,-0.7570348,-0.75234085,0.6358055,0.67782015,-0.40833688,-0.029930796,1.9064046,0.4189618,0.17396653,0.24585983,-1.888897,1.28823,0.52042985,-0.75622743,1.0263807,-0.12121028,0.0008034706
PASD:ava_images___846773,PASD,ava_images___846773.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___846773.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___846773.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___846773.png,train,-1.0420862,-5.3773365,-3.837366,2.587075,7.1781206,5.6650467,1.830332,-0.95141494,0.49388093,-0.47122487,1.3456115,2.676625,-1.1944354,1.3443887,2.4434686,0.6458601,1.6751672,0.24745077,-2.6446073,3.3995764,-0.01083684,-1.542726,1.9259261,1.1562515,-0.63087976
PASD:ava_images___857447,PASD,ava_images___857447.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___857447.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___857447.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___857447.png,train,-2.2322445,-4.0191097,-2.554169,2.765886,1.9399525,6.06608,-1.5926847,-4.763403,-4.221593,0.9282755,-0.2205067,-1.7552257,0.1071617,0.4832389,-0.6494555,-2.967143,-1.141257,-0.20596316,4.508628,-3.10525,0.3426912,0.57296693,-1.6902797,0.065180294,-0.4567683
PASD:ava_images___864250,PASD,ava_images___864250.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___864250.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___864250.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___864250.png,train,-2.6744742,-1.5878458,-0.34084454,1.2909491,0.124226876,1.9175203,-0.29873404,0.12080869,-1.653259,-2.7783418,-0.1742545,2.7520525,-0.75673604,-2.6584308,-2.4356682,1.2893114,-3.6503873,-1.6137004,-3.4710655,-1.7123536,-0.54243946,0.43612695,-0.49751773,-2.5729752,2.5149717
PASD:ava_images___865616,PASD,ava_images___865616.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___865616.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___865616.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___865616.png,train,-1.4804953,1.9123545,-2.5951886,3.1150227,-0.6555834,-1.433328,-2.6442955,-1.1415977,0.29885066,7.6427393,-4.143987,1.8700526,1.4037206,1.5886747,-1.229931,3.0808768,0.3633235,-4.546909,0.10556945,1.3621694,1.0814716,-0.6374856,-0.25233588,-0.44922438,0.26987177
PASD:ava_images___953752,PASD,ava_images___953752.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___953752.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___953752.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___953752.png,train,0.9920335,-0.3206638,0.2962448,0.6468581,0.28606504,-2.8384488,-0.61216044,-1.0280771,0.6398669,0.06202852,0.06279603,-1.7800741,-2.1094444,-0.49261734,-0.68073803,-0.49876508,-1.5669501,0.49034908,0.1684833,0.09967975,-0.59221137,-2.790133,-0.22663212,3.0767527,-2.9585009
PASD:blur_dataset___out_of_focus0685,PASD,blur_dataset___out_of_focus0685.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/blur_dataset___out_of_focus0685.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/blur_dataset___out_of_focus0685.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/blur_dataset___out_of_focus0685.png,train,-2.0083728,-0.5843283,2.4868357,-2.595833,-0.19032513,-0.3342538,0.59860915,-0.5943668,0.16845143,-2.4358528,0.121290654,-1.3640475,0.64495295,6.207879,-2.9826953,0.49702683,-0.11100358,-1.78089,-2.8943243,-2.8428636,1.714164,0.5716312,2.4812872,2.0418499,-1.1372383
PASD:voc_emotic_ava___EMOTIC__COCO_train2014_000000244530,PASD,voc_emotic_ava___EMOTIC__COCO_train2014_000000244530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/voc_emotic_ava___EMOTIC__COCO_train2014_000000244530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/voc_emotic_ava___EMOTIC__COCO_train2014_000000244530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/voc_emotic_ava___EMOTIC__COCO_train2014_000000244530.png,train,-5.6171303,8.356677,-1.0702864,3.3681676,0.08868063,1.0976801,6.8606205,2.785078,-4.627205,0.7941702,3.2295222,-1.1422538,-1.8129945,-1.3695261,-4.3097534,0.38432348,3.109561,0.24758726,0.45605063,1.0773511,-0.24629,1.0442188,-0.07916787,0.09965465,-0.19510874
PASD:voc_emotic_ava___EMOTIC__COCO_train2014_000000247190,PASD,voc_emotic_ava___EMOTIC__COCO_train2014_000000247190.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/voc_emotic_ava___EMOTIC__COCO_train2014_000000247190.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/voc_emotic_ava___EMOTIC__COCO_train2014_000000247190.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/voc_emotic_ava___EMOTIC__COCO_train2014_000000247190.png,train,0.8285948,-1.4184568,-0.88464403,1.9353325,-1.2595755,-3.0080078,-1.2386845,-0.9545102,-0.78042746,-0.04830747,1.1289009,-0.6737671,-0.6027673,0.3530265,-0.6508984,-0.27902725,0.06304085,0.9134266,1.1324508,0.20215699,-1.6560507,-0.8261152,2.707891,-0.55053186,1.9238236
PASD:voc_emotic_ava___EMOTIC__COCO_val2014_000000020598,PASD,voc_emotic_ava___EMOTIC__COCO_val2014_000000020598.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/voc_emotic_ava___EMOTIC__COCO_val2014_000000020598.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/voc_emotic_ava___EMOTIC__COCO_val2014_000000020598.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/voc_emotic_ava___EMOTIC__COCO_val2014_000000020598.png,train,-5.63058,2.1408405,-3.640511,5.133211,-8.032671,4.129901,0.1713383,4.0351915,4.6345997,-2.2283814,-3.599948,-1.854698,-1.4432591,1.727071,3.2360263,-1.1501135,-0.96184075,0.9962927,0.21454863,0.4638074,-0.37242147,-0.012656331,-0.2132968,-0.17040613,0.2362746
PASD:voc_emotic_ava___JPEGImages__2008_003883,PASD,voc_emotic_ava___JPEGImages__2008_003883.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/voc_emotic_ava___JPEGImages__2008_003883.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/voc_emotic_ava___JPEGImages__2008_003883.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/voc_emotic_ava___JPEGImages__2008_003883.png,test,-3.1431084,2.8144655,-0.24579158,0.38799912,-0.104937695,-0.70364344,1.8522747,0.62816596,-1.4741919,-1.2698542,0.21791378,0.26237887,0.83876413,0.29807156,2.6659389,0.70878434,-0.80794024,-0.23453161,0.10091886,0.37696534,0.69682574,0.17840624,-0.2379598,-0.054856434,0.15371877
